position	distance	allele0_0	allele0_1	allele1_0	allele1_1
N/A	0.00195868	0.999967	3.25343e-05	0.000222709	0.999777
N/A	0.00195885	0.999962	3.75811e-05	8.01435e-07	0.999999
N/A	0.00195933	0.999966	3.35431e-05	2.52546e-05	0.999975
N/A	0.00195988	0.99997	2.95394e-05	2.53473e-05	0.999975
N/A	0.00196071	0.999969	3.1356e-05	1.92289e-05	0.999981
N/A	0.00196088	0.999968	3.24703e-05	1.03326e-09	1
N/A	0.00196278	0.999976	2.40753e-05	0.000138939	0.999861
N/A	0.0019628	0.999974	2.60891e-05	7.9132e-07	0.999999
N/A	0.00196286	0.999968	3.20376e-05	2.77678e-06	0.999997
N/A	0.00196346	0.999955	4.48334e-05	2.61743e-06	0.999997
N/A	0.00196388	0.999967	3.30494e-05	0.000311979	0.999688
N/A	0.00196442	0.99997	3.02006e-05	4.39009e-06	0.999996
N/A	0.00196459	0.999964	3.61652e-05	2.89828e-05	0.999971
N/A	0.00196566	0.999977	2.28337e-05	3.81166e-06	0.999996
N/A	0.00196683	0.999963	3.71736e-05	6.40716e-05	0.999936
N/A	0.00196725	0.999967	3.26287e-05	2.15277e-09	1
N/A	0.00196727	0.999961	3.9071e-05	9.54335e-06	0.99999
N/A	0.00196742	0.999967	3.32877e-05	2.12552e-06	0.999998
N/A	0.00196751	0.999973	2.67883e-05	9.57436e-05	0.999904
N/A	0.00196764	0.999964	3.64065e-05	1.17825e-06	0.999999
N/A	0.00196818	0.999969	3.05544e-05	0.000700843	0.999299
N/A	0.00196836	0.999972	2.80525e-05	1.86123e-05	0.999981
N/A	0.00196918	0.999968	3.18641e-05	2.01988e-09	1
N/A	0.00196922	0.999978	2.20977e-05	6.68589e-05	0.999933
N/A	0.0019696	0.999956	4.44633e-05	0.000615288	0.999385
N/A	0.00196972	0.999959	4.07551e-05	1.73969e-06	0.999998
N/A	0.00196984	0.999954	4.58591e-05	1.4347e-07	1
N/A	0.0019701	0.999968	3.19367e-05	1.44564e-06	0.999999
