position	distance	allele0_0	allele0_1	allele1_0	allele1_1
N/A	0.00138216	0.999964	3.58243e-05	3.39354e-07	1
N/A	0.00138252	0.999973	2.74748e-05	7.10038e-07	0.999999
N/A	0.00138263	0.999967	3.3217e-05	0.000231152	0.999769
N/A	0.00138273	0.999972	2.76989e-05	1.28676e-05	0.999987
N/A	0.00138305	0.999973	2.68366e-05	4.71341e-07	1
N/A	0.00138315	0.999967	3.32877e-05	3.97237e-09	1
N/A	0.00138317	0.999975	2.47647e-05	3.48274e-07	1
N/A	0.00138319	0.999963	3.65015e-05	3.39099e-06	0.999997
N/A	0.00138325	0.999968	3.23385e-05	7.06505e-08	1
N/A	0.00138327	0.99997	2.96598e-05	5.25795e-09	1
N/A	0.00138343	0.999973	2.7085e-05	1.86865e-08	1
N/A	0.00138374	0.999963	3.74107e-05	9.50472e-07	0.999999
N/A	0.00138401	0.999977	2.27394e-05	1.14636e-05	0.999989
N/A	0.00138409	0.999962	3.84504e-05	1.16301e-06	0.999999
N/A	0.00138418	0.99996	4.03864e-05	9.43429e-08	1
N/A	0.00138424	0.999982	1.81373e-05	1.44354e-09	1
N/A	0.00138436	0.999973	2.73651e-05	7.26237e-06	0.999993
N/A	0.00138451	0.99997	3.01533e-05	2.25479e-08	1
N/A	0.00138463	0.99996	4.03908e-05	2.4546e-06	0.999998
N/A	0.00138475	0.999965	3.50282e-05	6.56497e-09	1
N/A	0.00138479	0.999968	3.23351e-05	5.44797e-06	0.999995
N/A	0.00138496	0.999978	2.24418e-05	6.35744e-05	0.999936
N/A	0.00138502	0.999975	2.51399e-05	7.01521e-08	1
N/A	0.00138505	0.999972	2.7873e-05	0.000315608	0.999684
N/A	0.00138544	0.99997	3.01852e-05	5.14997e-08	1
N/A	0.00138549	0.999972	2.81076e-05	3.07939e-08	1
N/A	0.00138554	0.99997	2.97902e-05	7.51843e-06	0.999992
N/A	0.00138559	0.999961	3.87513e-05	3.82275e-07	1
N/A	0.00138559	0.999969	3.05629e-05	1.75153e-08	1
N/A	0.00138565	0.999965	3.54688e-05	8.71577e-06	0.999991
N/A	0.00138566	0.999964	3.63068e-05	1.39214e-06	0.999999
N/A	0.00138573	0.999961	3.86253e-05	4.582e-07	1
N/A	0.00138574	0.999963	3.74685e-05	1.96636e-07	1
N/A	0.00138583	0.999969	3.0782e-05	0.000353224	0.999647
N/A	0.0013859	0.999963	3.73874e-05	0.00068232	0.999318
N/A	0.00138591	0.99997	3.02265e-05	4.30366e-06	0.999996
N/A	0.00138599	0.99996	4.02873e-05	5.23159e-05	0.999948
N/A	0.0013862	0.999962	3.80956e-05	0.00010043	0.9999
N/A	0.0013864	0.99997	3.04866e-05	0.000251357	0.999749
N/A	0.0013864	0.999958	4.16484e-05	3.80792e-06	0.999996
N/A	0.00138643	0.999974	2.58975e-05	6.95876e-07	0.999999
N/A	0.00138647	0.999964	3.56852e-05	1.89248e-08	1
N/A	0.00138696	0.999956	4.41461e-05	0.000139161	0.999861
N/A	0.00138724	0.999966	3.37634e-05	1.5542e-09	1
N/A	0.00138734	0.999964	3.56521e-05	9.11457e-05	0.999909
N/A	0.0013874	0.999964	3.62611e-05	3.31338e-05	0.999967
N/A	0.0013876	0.999977	2.34935e-05	3.75642e-08	1
N/A	0.00138767	0.999958	4.15938e-05	3.97843e-08	1
N/A	0.00138779	0.999975	2.47239e-05	2.63498e-08	1
N/A	0.00138784	0.999981	1.92095e-05	8.41381e-08	1
N/A	0.00138787	0.999981	1.88689e-05	4.10488e-06	0.999996
N/A	0.00138797	0.999972	2.75121e-05	1.73469e-09	1
N/A	0.00138823	0.999984	1.64678e-05	1.66761e-05	0.999983
N/A	0.00138829	0.999968	3.22101e-05	0.000296022	0.999704
N/A	0.00138836	0.999967	3.32174e-05	8.827e-09	1
N/A	0.0013885	0.999967	3.31721e-05	1.02824e-06	0.999999
N/A	0.00138853	0.999972	2.78515e-05	8.43647e-07	0.999999
N/A	0.00138861	0.99997	3.03773e-05	1.37359e-06	0.999999
N/A	0.00138867	0.999964	3.6114e-05	0.000372412	0.999628
N/A	0.0013887	0.999964	3.60636e-05	0.000686191	0.999314
N/A	0.00138871	0.999974	2.55563e-05	1.51398e-05	0.999985
N/A	0.00138891	0.999978	2.24419e-05	0.000128665	0.999871
N/A	0.001389	0.999965	3.53336e-05	0.000166511	0.999833
N/A	0.00138917	0.999965	3.53221e-05	0.000813183	0.999187
N/A	0.00138921	0.999968	3.15665e-05	4.51541e-07	1
N/A	0.00138934	0.999958	4.20024e-05	5.88638e-05	0.999941
N/A	0.00138947	0.999963	3.71794e-05	1.79933e-05	0.999982
N/A	0.0013897	0.999964	3.58202e-05	0.000322943	0.999677
N/A	0.00138972	0.999962	3.83932e-05	0.000350471	0.99965
N/A	0.00138999	0.999963	3.73549e-05	1.54604e-06	0.999998
N/A	0.00139002	0.999966	3.41045e-05	2.28171e-09	1
N/A	0.00139006	0.999959	4.05367e-05	7.87958e-09	1
N/A	0.00139009	0.999968	3.22859e-05	3.38364e-05	0.999966
N/A	0.00139011	0.999977	2.29851e-05	0.000603723	0.999396
N/A	0.00139015	0.999959	4.11695e-05	2.72394e-07	1
N/A	0.00139036	0.999977	2.31166e-05	3.74104e-08	1
N/A	0.00139059	0.999968	3.2023e-05	2.69645e-07	1
N/A	0.00139069	0.999962	3.80782e-05	3.57834e-05	0.999964
N/A	0.0013907	0.999963	3.65312e-05	9.60543e-07	0.999999
N/A	0.00139072	0.999971	2.91817e-05	0.000913611	0.999086
N/A	0.00139087	0.999975	2.53093e-05	2.82571e-07	1
N/A	0.00139101	0.999972	2.77969e-05	3.93661e-05	0.999961
N/A	0.00139106	0.999954	4.63188e-05	0.000117603	0.999882
N/A	0.00139119	0.999976	2.38319e-05	9.67312e-07	0.999999
N/A	0.00139121	0.999975	2.47107e-05	1.57539e-05	0.999984
N/A	0.00139125	0.999972	2.75372e-05	3.18815e-07	1
N/A	0.00139125	0.999975	2.53297e-05	1.13112e-05	0.999989
N/A	0.0013916	0.999965	3.50711e-05	1.04282e-06	0.999999
N/A	0.0013917	0.999968	3.18211e-05	0.000256473	0.999744
N/A	0.0013917	0.99996	4.04118e-05	1.59525e-09	1
N/A	0.00139174	0.99997	3.01142e-05	4.26171e-09	1
N/A	0.00139175	0.999969	3.06408e-05	0.000164014	0.999836
N/A	0.00139179	0.999972	2.82773e-05	2.21196e-09	1
N/A	0.00139197	0.999973	2.71877e-05	5.9855e-08	1
N/A	0.00139198	0.999971	2.90204e-05	2.69681e-08	1
N/A	0.00139202	0.99998	1.99993e-05	5.48778e-07	0.999999
N/A	0.00139234	0.999958	4.20833e-05	0.000476376	0.999524
N/A	0.00139237	0.999975	2.45676e-05	5.82739e-09	1
N/A	0.00139238	0.999957	4.33867e-05	7.45471e-08	1
N/A	0.0013924	0.999959	4.05576e-05	3.99688e-06	0.999996
N/A	0.00139245	0.999966	3.36056e-05	4.22733e-08	1
N/A	0.00139245	0.999973	2.66748e-05	5.05961e-07	0.999999
N/A	0.00139259	0.999965	3.49016e-05	1.91868e-05	0.999981
N/A	0.00139264	0.999972	2.84531e-05	2.45475e-06	0.999998
N/A	0.00139272	0.99997	2.97216e-05	1.00608e-07	1
N/A	0.00139276	0.999964	3.62535e-05	2.71573e-07	1
N/A	0.00139283	0.999971	2.889e-05	3.46194e-07	1
N/A	0.0013929	0.999973	2.65094e-05	5.5028e-08	1
N/A	0.00139302	0.99997	3.0158e-05	0.000141765	0.999858
N/A	0.00139316	0.999967	3.25742e-05	3.32627e-05	0.999967
N/A	0.00139317	0.999972	2.78986e-05	1.51703e-09	1
N/A	0.00139322	0.99996	3.99723e-05	0.000116788	0.999883
N/A	0.00139323	0.99997	2.99084e-05	4.97079e-07	1
N/A	0.00139325	0.999971	2.94038e-05	9.80683e-06	0.99999
N/A	0.00139349	0.999963	3.71451e-05	1.54815e-09	1
N/A	0.00139357	0.999969	3.0749e-05	1.37077e-06	0.999999
N/A	0.0013936	0.999968	3.19877e-05	1.03689e-08	1
N/A	0.00139364	0.999964	3.61626e-05	1.11365e-08	1
N/A	0.00139366	0.999966	3.35579e-05	7.18869e-05	0.999928
N/A	0.00139369	0.999963	3.65319e-05	0.00078013	0.99922
N/A	0.00139377	0.999958	4.21652e-05	0.000557153	0.999443
N/A	0.001394	0.999973	2.71771e-05	0.000543998	0.999456
N/A	0.00139411	0.999977	2.25926e-05	1.27075e-08	1
N/A	0.00139417	0.999957	4.30053e-05	2.37103e-08	1
N/A	0.00139431	0.999968	3.2003e-05	8.68265e-08	1
N/A	0.00139433	0.999965	3.47883e-05	1.87341e-06	0.999998
N/A	0.00139436	0.999978	2.2145e-05	1.09161e-05	0.999989
N/A	0.00139439	0.999965	3.49928e-05	1.57769e-08	1
N/A	0.00139451	0.999976	2.37553e-05	8.68291e-08	1
N/A	0.00139451	0.999969	3.1299e-05	9.6405e-05	0.999904
N/A	0.00139463	0.999965	3.46856e-05	6.74484e-05	0.999933
N/A	0.00139464	0.99997	2.99575e-05	4.72303e-08	1
N/A	0.00139475	0.999975	2.46942e-05	0.000321213	0.999679
N/A	0.00139478	0.999971	2.92322e-05	1.47624e-06	0.999999
N/A	0.00139484	0.999966	3.35002e-05	0.000391844	0.999608
N/A	0.00139495	0.999965	3.54523e-05	0.000397442	0.999603
N/A	0.00139505	0.999971	2.8661e-05	1.68426e-05	0.999983
N/A	0.00139514	0.999971	2.85039e-05	5.56214e-05	0.999944
N/A	0.00139525	0.999968	3.1646e-05	2.11465e-08	1
N/A	0.00139528	0.999973	2.74039e-05	1.45783e-09	1
N/A	0.00139532	0.999963	3.73967e-05	7.53436e-08	1
N/A	0.00139564	0.999959	4.11707e-05	2.65155e-08	1
N/A	0.0013957	0.999966	3.41168e-05	8.49247e-07	0.999999
N/A	0.0013957	0.999968	3.24849e-05	3.34926e-07	1
N/A	0.00139591	0.999971	2.94178e-05	7.03543e-09	1
N/A	0.00139594	0.999973	2.73851e-05	3.53978e-08	1
N/A	0.00139597	0.999967	3.30983e-05	3.48847e-06	0.999997
N/A	0.00139598	0.999974	2.60709e-05	3.49982e-09	1
N/A	0.00139603	0.999972	2.77921e-05	1.46378e-08	1
N/A	0.00139616	0.999968	3.21132e-05	3.93272e-07	1
N/A	0.00139622	0.999959	4.09817e-05	0.000423157	0.999577
N/A	0.00139622	0.999976	2.35955e-05	3.1486e-05	0.999969
N/A	0.00139637	0.999963	3.68557e-05	7.87627e-06	0.999992
N/A	0.00139644	0.999972	2.78117e-05	2.22049e-07	1
N/A	0.00139647	0.999971	2.89746e-05	1.50239e-08	1
N/A	0.00139648	0.999971	2.926e-05	7.70822e-08	1
N/A	0.00139649	0.999966	3.40283e-05	1.84544e-09	1
N/A	0.00139656	0.99998	2.03185e-05	1.53106e-09	1
N/A	0.00139674	0.99997	3.03634e-05	0.000725633	0.999274
N/A	0.00139685	0.999971	2.88446e-05	2.01076e-08	1
N/A	0.0013969	0.999964	3.56381e-05	2.7534e-06	0.999997
N/A	0.001397	0.999979	2.07445e-05	8.92107e-07	0.999999
N/A	0.00139702	0.999975	2.48373e-05	1.73451e-05	0.999983
N/A	0.00139703	0.999975	2.45451e-05	0.000141246	0.999859
N/A	0.00139708	0.999973	2.65937e-05	2.59312e-06	0.999997
N/A	0.00139715	0.999957	4.25665e-05	0.000178957	0.999821
N/A	0.00139747	0.999965	3.50139e-05	2.68886e-05	0.999973
N/A	0.0013975	0.999968	3.1583e-05	6.64906e-05	0.999934
N/A	0.00139772	0.999969	3.12546e-05	2.60909e-09	1
N/A	0.00139781	0.99997	3.04995e-05	3.43624e-06	0.999997
N/A	0.00139784	0.999973	2.68524e-05	2.60937e-08	1
N/A	0.00139797	0.999971	2.92945e-05	5.61564e-08	1
N/A	0.00139797	0.999961	3.94088e-05	3.69131e-06	0.999996
N/A	0.00139805	0.999969	3.09479e-05	0.000518775	0.999481
N/A	0.00139823	0.99997	2.95654e-05	5.22257e-05	0.999948
N/A	0.00139823	0.999971	2.90003e-05	2.74397e-08	1
N/A	0.00139828	0.999966	3.35557e-05	3.82941e-09	1
N/A	0.0013983	0.999965	3.45444e-05	7.59463e-09	1
N/A	0.00139831	0.99997	3.01622e-05	3.80129e-06	0.999996
N/A	0.00139834	0.999964	3.60458e-05	1.04263e-06	0.999999
N/A	0.00139836	0.999972	2.75779e-05	1.8627e-07	1
N/A	0.00139842	0.999964	3.61184e-05	3.61331e-09	1
N/A	0.00139843	0.999962	3.81382e-05	6.47592e-09	1
N/A	0.0013986	0.99996	4.01932e-05	6.28843e-05	0.999937
N/A	0.00139873	0.999967	3.25161e-05	1.9807e-06	0.999998
N/A	0.00139885	0.999971	2.85073e-05	4.97435e-05	0.99995
N/A	0.001399	0.999964	3.64105e-05	3.30357e-07	1
N/A	0.00139902	0.999962	3.81753e-05	0.000776489	0.999224
N/A	0.00139905	0.99997	3.02378e-05	6.65991e-09	1
N/A	0.0013991	0.999976	2.3814e-05	3.89839e-06	0.999996
N/A	0.00139917	0.999965	3.50452e-05	9.59589e-07	0.999999
N/A	0.0013992	0.999975	2.52092e-05	0.000190808	0.999809
N/A	0.00139923	0.999968	3.16926e-05	3.85064e-07	1
N/A	0.00139931	0.999974	2.59062e-05	2.70863e-07	1
N/A	0.00139935	0.999964	3.64903e-05	2.93998e-06	0.999997
N/A	0.00139951	0.999979	2.12715e-05	9.85821e-05	0.999901
N/A	0.00139956	0.999951	4.89372e-05	7.42659e-07	0.999999
N/A	0.0013996	0.999977	2.28936e-05	4.4353e-05	0.999956
N/A	0.00139964	0.999979	2.09158e-05	4.25704e-06	0.999996
N/A	0.00139966	0.999964	3.63103e-05	1.48367e-06	0.999999
N/A	0.00139966	0.99997	2.96545e-05	2.49322e-07	1
N/A	0.00139968	0.999973	2.66465e-05	3.99974e-06	0.999996
N/A	0.00139971	0.999958	4.19142e-05	2.75771e-08	1
N/A	0.00139971	0.999964	3.59779e-05	1.57212e-08	1
N/A	0.00139981	0.999979	2.14837e-05	3.32761e-08	1
N/A	0.00139995	0.99997	2.95595e-05	7.41699e-07	0.999999
N/A	0.00139995	0.999965	3.45251e-05	6.82733e-07	0.999999
N/A	0.00140002	0.999962	3.75931e-05	2.37201e-06	0.999998
N/A	0.0014001	0.999982	1.83084e-05	5.1298e-06	0.999995
N/A	0.00140013	0.999972	2.78774e-05	5.10177e-05	0.999949
N/A	0.00140018	0.999969	3.08987e-05	1.86333e-09	1
N/A	0.00140021	0.999977	2.31289e-05	4.64127e-07	1
N/A	0.00140039	0.999963	3.68801e-05	6.02915e-05	0.99994
N/A	0.0014004	0.999952	4.75918e-05	8.8018e-06	0.999991
N/A	0.00140042	0.999969	3.07232e-05	1.45373e-08	1
N/A	0.00140042	0.999966	3.43672e-05	1.58946e-07	1
N/A	0.00140049	0.999974	2.56147e-05	1.35429e-05	0.999986
N/A	0.0014005	0.999966	3.38092e-05	0.000360978	0.999639
N/A	0.00140056	0.999969	3.08755e-05	3.51013e-09	1
N/A	0.00140057	0.999964	3.64884e-05	1.19544e-05	0.999988
N/A	0.00140064	0.999965	3.54077e-05	9.67765e-08	1
N/A	0.00140067	0.999961	3.88782e-05	5.18733e-06	0.999995
N/A	0.00140074	0.999978	2.18935e-05	7.54933e-07	0.999999
N/A	0.00140074	0.999971	2.92499e-05	9.58031e-08	1
N/A	0.0014008	0.999972	2.75139e-05	3.06522e-09	1
N/A	0.001401	0.999973	2.68477e-05	4.41828e-07	1
N/A	0.00140101	0.999977	2.29591e-05	8.55455e-09	1
N/A	0.00140107	0.999971	2.91871e-05	8.72559e-06	0.999991
N/A	0.00140108	0.999971	2.93672e-05	2.97401e-07	1
N/A	0.00140109	0.999959	4.13663e-05	3.1915e-07	1
N/A	0.00140121	0.999968	3.20376e-05	2.77678e-06	0.999997
N/A	0.00140123	0.999971	2.92627e-05	3.45872e-06	0.999997
N/A	0.00140124	0.999973	2.66665e-05	0.000144074	0.999856
N/A	0.00140127	0.99997	3.03632e-05	0.000107435	0.999893
N/A	0.00140128	0.999956	4.43516e-05	7.10432e-05	0.999929
N/A	0.00140132	0.999976	2.38089e-05	0.000460046	0.99954
N/A	0.00140138	0.999962	3.79852e-05	6.06513e-08	1
N/A	0.00140145	0.999968	3.21216e-05	1.36922e-09	1
N/A	0.00140145	0.999959	4.12537e-05	6.38351e-09	1
N/A	0.00140145	0.99997	2.96049e-05	1.15481e-08	1
N/A	0.00140146	0.999962	3.7545e-05	9.81818e-09	1
N/A	0.00140148	0.99996	4.02327e-05	3.2114e-09	1
N/A	0.00140162	0.999964	3.634e-05	0.000780029	0.99922
N/A	0.00140167	0.999964	3.59445e-05	1.15568e-07	1
N/A	0.00140169	0.999971	2.93433e-05	3.49398e-05	0.999965
N/A	0.00140173	0.999971	2.8591e-05	6.51881e-08	1
N/A	0.00140174	0.999967	3.34213e-05	1.64133e-09	1
N/A	0.00140199	0.999962	3.84418e-05	1.27122e-06	0.999999
N/A	0.00140216	0.999964	3.64631e-05	6.59186e-06	0.999993
N/A	0.00140219	0.999977	2.30943e-05	2.77482e-07	1
N/A	0.00140236	0.999974	2.59401e-05	7.20481e-07	0.999999
N/A	0.00140244	0.999976	2.35308e-05	0.000252375	0.999748
N/A	0.0014025	0.999966	3.41346e-05	5.16318e-08	1
N/A	0.00140252	0.999978	2.2473e-05	2.50125e-06	0.999997
N/A	0.00140254	0.999971	2.86606e-05	4.82101e-07	1
N/A	0.00140263	0.999975	2.51123e-05	2.44862e-09	1
N/A	0.00140264	0.999974	2.58481e-05	7.62544e-06	0.999992
N/A	0.00140271	0.999971	2.87005e-05	2.45479e-07	1
N/A	0.00140279	0.999969	3.13156e-05	3.11352e-09	1
N/A	0.00140289	0.999963	3.69457e-05	1.33978e-07	1
N/A	0.00140302	0.999969	3.09362e-05	5.05019e-06	0.999995
N/A	0.00140309	0.999965	3.46872e-05	4.10297e-09	1
N/A	0.00140311	0.999982	1.84688e-05	6.10033e-06	0.999994
N/A	0.00140312	0.999977	2.25629e-05	1.95373e-05	0.99998
N/A	0.00140317	0.999966	3.36075e-05	5.04608e-07	0.999999
N/A	0.00140318	0.999978	2.24114e-05	8.75273e-07	0.999999
N/A	0.0014033	0.99997	2.95242e-05	2.26356e-09	1
N/A	0.00140331	0.99997	2.98089e-05	1.34733e-07	1
N/A	0.00140333	0.999969	3.08248e-05	2.48351e-09	1
N/A	0.00140334	0.999964	3.56263e-05	2.70449e-05	0.999973
